,number,aver_price,lat,long,demand,region,geometry
0,0,603211.6946988017,35.5253707828559,129.317114159498,15,수암동,POINT (129.317114159498 35.5253707828559)
1,1,771516.1970481118,35.5211184724703,129.321041336087,12,수암동,POINT (129.321041336087 35.5211184724703)
2,2,808496.6244030956,35.5244186209514,129.317167434687,10,수암동,POINT (129.317167434687 35.5244186209514)
3,3,914786.2726617508,35.5216131350801,129.31780074317,13,수암동,POINT (129.31780074317 35.5216131350801)
4,4,1009717.942640436,35.523044460991,129.315964308414,9,수암동,POINT (129.315964308414 35.523044460991)
5,5,1009939.083039436,35.5208596611938,129.320904669791,11,수암동,POINT (129.320904669791 35.5208596611938)
6,6,1026167.265264238,35.5264261853205,129.320596653582,7,대현동,POINT (129.320596653582 35.5264261853205)
7,7,1032084.361678259,35.5214935939847,129.31747287155,8,수암동,POINT (129.31747287155 35.5214935939847)
8,8,1049046.321525886,35.5239324335728,129.316518055396,9,수암동,POINT (129.316518055396 35.5239324335728)
9,9,1064843.355937903,35.5214838526353,129.317815442971,8,수암동,POINT (129.317815442971 35.5214838526353)
10,10,1075069.164639694,35.5266206806396,129.320631528399,8,수암동,POINT (129.320631528399 35.5266206806396)
11,11,1088739.746457867,35.5217151114527,129.320510318612,13,수암동,POINT (129.320510318612 35.5217151114527)
12,12,1101337.086558761,35.521025730952,129.322020481714,8,수암동,POINT (129.322020481714 35.521025730952)
13,13,1218130.311614731,35.5269542596589,129.320692851755,5,수암동,POINT (129.320692851755 35.5269542596589)
14,14,1264051.719978772,35.5211503200721,129.320937116799,10,수암동,POINT (129.320937116799 35.5211503200721)
15,15,1283288.0,35.5232879328629,129.317565054116,11,수암동,POINT (129.317565054116 35.5232879328629)
16,16,1284544.524053224,35.5267294349918,129.320555371923,12,수암동,POINT (129.320555371923 35.5267294349918)
17,17,1315011.0,35.5220461652443,129.318251706858,7,수암동,POINT (129.318251706858 35.5220461652443)
18,18,1332916.0,35.5229871791089,129.316395749634,12,수암동,POINT (129.316395749634 35.5229871791089)
19,19,1364587.295549639,35.5215653974152,129.320644142706,8,수암동,POINT (129.320644142706 35.5215653974152)
20,20,1562974.203338391,35.5218478570236,129.320513118352,7,수암동,POINT (129.320513118352 35.5218478570236)
21,21,1596742.0,35.5229494077,129.317045592886,12,수암동,POINT (129.317045592886 35.5229494077)
22,22,1625760.0,35.5239963014629,129.318181703554,18,수암동,POINT (129.318181703554 35.5239963014629)
23,23,1667488.08937079,35.5231567348671,129.317005268559,9,수암동,POINT (129.317005268559 35.5231567348671)
24,24,1672038.0,35.5270293126545,129.320255745092,19,수암동,POINT (129.320255745092 35.5270293126545)
25,25,1724398.0,35.5278838667308,129.320025354705,6,신정4동,POINT (129.320025354705 35.5278838667308)
26,26,1927979.604843849,35.5213207489183,129.315428328149,8,수암동,POINT (129.315428328149 35.5213207489183)
27,27,2030068.801494946,35.5205459874018,129.321064814362,7,수암동,POINT (129.321064814362 35.5205459874018)
28,28,451231.9580113719,35.5158632848683,129.316358647051,8,선암동,POINT (129.316358647051 35.5158632848683)
29,29,623502.994011976,35.5159430950922,129.316198080854,8,선암동,POINT (129.316198080854 35.5159430950922)
30,30,686547.382372432,35.5153520189164,129.316990438223,15,선암동,POINT (129.316990438223 35.5153520189164)
31,31,734064.9756523003,35.5153434836627,129.317739879335,9,선암동,POINT (129.317739879335 35.5153434836627)
32,32,755974.9717919787,35.5178016576634,129.334642683623,11,선암동,POINT (129.334642683623 35.5178016576634)
33,33,765709.5297544736,35.5175903159745,129.335814880726,9,선암동,POINT (129.335814880726 35.5175903159745)
34,34,807824.8530306101,35.5152044308216,129.316770431447,8,선암동,POINT (129.316770431447 35.5152044308216)
35,35,845623.0550669734,35.5157866437595,129.31624057711,7,선암동,POINT (129.31624057711 35.5157866437595)
